match_id,competition_id,home_team_id,home_team,away_team_id,away_team,date
595735,267979,25907,Northampton Saints,25901,Harlequins,20230101
599464,270557,25965,Cardiff Blues,25968,Ospreys,20230101
599465,270557,25966,Scarlets,25967,Dragons,20230101
599466,270557,25926,Ulster,25925,Munster,20230101
599467,270557,25924,Leinster,25923,Connacht,20230101
597648,270559,25917,Clermont Auvergne,25922,Stade Toulousain,20230101
595740,267979,25900,Gloucester Rugby,25909,Saracens,20230106
599468,270557,25967,Dragons,25953,Bulls,20230106
599469,270557,25925,Munster,25958,Lions,20230106
595742,267979,25906,Newcastle Falcons,25903,Leicester Tigers,20230107
595739,267979,116227,Exeter Chiefs,25907,Northampton Saints,20230107
599470,270557,25927,Benetton Treviso,25926,Ulster,20230107
599471,270557,25951,Edinburgh,167124,Zebre,20230107
599472,270557,25923,Connacht,25961,Sharks,20230107
599473,270557,25965,Cardiff Blues,25966,Scarlets,20230107
599474,270557,25968,Ospreys,25924,Leinster,20230107
597661,270559,143737,Bordeaux Begles,25912,Bayonne,20230107
597655,270559,25917,Clermont Auvergne,25920,Perpignan,20230107
597656,270559,25915,Brive,25986,Toulon,20230107
597658,270559,270567,Pau,143736,Lyon,20230107
597659,270559,25921,Stade Francais Paris,25916,Castres Olympique,20230107
597660,270559,119318,La Rochelle,25922,Stade Toulousain,20230107
595741,267979,25901,Harlequins,25908,Sale Sharks,20230108
595743,267979,25904,London Irish,25899,Bristol Rugby,20230108
599475,270557,25952,Glasgow Warriors,25962,Stormers,20230108
597657,270559,25918,Montpellier Herault,99855,Racing 92,20230108
597416,271937,25917,Clermont Auvergne,25903,Leicester Tigers,20230113
598622,272073,270567,Pau,25967,Dragons,20230113
598623,272073,25966,Scarlets,25955,Cheetahs,20230113
597417,271937,25908,Sale Sharks,25922,Stade Toulousain,20230114
597418,271937,25900,Gloucester Rugby,25924,Leinster,20230114
597419,271937,25961,Sharks,143737,Bordeaux Begles,20230114
597420,271937,25925,Munster,25907,Northampton Saints,20230114
597421,271937,25953,Bulls,116227,Exeter Chiefs,20230114
597422,271937,119318,La Rochelle,25926,Ulster,20230114
597423,271937,25968,Ospreys,25918,Montpellier Herault,20230114
597424,271937,25909,Saracens,143736,Lyon,20230114
598624,272073,25921,Stade Francais Paris,25958,Lions,20230114
598625,272073,25927,Benetton Treviso,25912,Bayonne,20230114
598626,272073,25923,Connacht,25915,Brive,20230114
598627,272073,167124,Zebre,25899,Bristol Rugby,20230114
598628,272073,25920,Perpignan,25952,Glasgow Warriors,20230114
597425,271937,25916,Castres Olympique,25951,Edinburgh,20230115
597426,271937,25904,London Irish,25962,Stormers,20230115
597427,271937,99855,Racing 92,25901,Harlequins,20230115
598629,272073,25965,Cardiff Blues,25906,Newcastle Falcons,20230115
598630,272073,25898,Bath Rugby,25986,Toulon,20230115
597428,271937,143736,Lyon,25953,Bulls,20230120
597429,271937,25903,Leicester Tigers,25968,Ospreys,20230120
598631,272073,25986,Toulon,167124,Zebre,20230120
598632,272073,25952,Glasgow Warriors,25898,Bath Rugby,20230120
598633,272073,25899,Bristol Rugby,25920,Perpignan,20230120
597430,271937,25907,Northampton Saints,119318,La Rochelle,20230121
597431,271937,25901,Harlequins,25961,Sharks,20230121
597432,271937,143737,Bordeaux Begles,25900,Gloucester Rugby,20230121
597433,271937,25924,Leinster,99855,Racing 92,20230121
597434,271937,25962,Stormers,25917,Clermont Auvergne,20230121
597435,271937,116227,Exeter Chiefs,25916,Castres Olympique,20230121
597436,271937,25926,Ulster,25908,Sale Sharks,20230121
598634,272073,25912,Bayonne,25966,Scarlets,20230121
598635,272073,25927,Benetton Treviso,25921,Stade Francais Paris,20230121
598636,272073,25915,Brive,25965,Cardiff Blues,20230121
598637,272073,25906,Newcastle Falcons,25923,Connacht,20230121
597437,271937,25918,Montpellier Herault,25904,London Irish,20230122
597438,271937,25922,Stade Toulousain,25925,Munster,20230122
597439,271937,25951,Edinburgh,25909,Saracens,20230122
598638,272073,25967,Dragons,25958,Lions,20230122
598639,272073,25955,Cheetahs,270567,Pau,20230122
595747,267979,25901,Harlequins,25908,Sale Sharks,20230127
599476,270557,25926,Ulster,25962,Stormers,20230127
599477,270557,25966,Scarlets,25953,Bulls,20230127
595748,267979,25903,Leicester Tigers,25907,Northampton Saints,20230128
595745,267979,25898,Bath Rugby,25909,Saracens,20230128
595746,267979,116227,Exeter Chiefs,25900,Gloucester Rugby,20230128
597664,270559,143736,Lyon,25917,Clermont Auvergne,20230128
597662,270559,25912,Bayonne,25915,Brive,20230128
597663,270559,25916,Castres Olympique,143737,Bordeaux Begles,20230128
597666,270559,25986,Toulon,270567,Pau,20230128
597668,270559,25920,Perpignan,25921,Stade Francais Paris,20230128
597665,270559,99855,Racing 92,119318,La Rochelle,20230128
599478,270557,25927,Benetton Treviso,25925,Munster,20230128
599479,270557,25967,Dragons,25952,Glasgow Warriors,20230128
599480,270557,25924,Leinster,25965,Cardiff Blues,20230128
599481,270557,25951,Edinburgh,25961,Sharks,20230128
599482,270557,25923,Connacht,25958,Lions,20230128
595749,267979,25905,Wasps,25904,London Irish,20230129
599483,270557,167124,Zebre,25968,Ospreys,20230129
597667,270559,25922,Stade Toulousain,25918,Montpellier Herault,20230129
