away_team,away_team_id,competition_id,date,home_team,home_team_id,match_id
"{0: 'Ospreys', 1: 'Dragons'}","{0: '25968', 1: '25967'}","{0: '270557', 1: '270557'}","{0: '20250101', 1: '20250101'}","{0: 'Cardiff Blues', 1: 'Scarlets'}","{0: '25965', 1: '25966'}","{0: '599267', 1: '599268'}"
{0: 'Harlequins'},{0: '25901'},{0: '267979'},{0: '20250103'},{0: 'Newcastle Falcons'},{0: '25906'},{0: '599967'}
"{0: 'Sale Sharks', 1: 'Exeter Chiefs', 2: 'Bristol Rugby', 3: 'Racing 92', 4: 'Pau', 5: 'Perpignan', 6: 'Bayonne', 7: 'Bordeaux Begles', 8: 'Stade Toulousain'}","{0: '25908', 1: '116227', 2: '25899', 3: '99855', 4: '270567', 5: '25920', 6: '25912', 7: '143737', 8: '25922'}","{0: '267979', 1: '267979', 2: '267979', 3: '270559', 4: '270559', 5: '270559', 6: '270559', 7: '270559', 8: '270559'}","{0: '20250104', 1: '20250104', 2: '20250104', 3: '20250104', 4: '20250104', 5: '20250104', 6: '20250104', 7: '20250104', 8: '20250104'}","{0: 'Gloucester Rugby', 1: 'Leicester Tigers', 2: 'Saracens', 3: 'Toulon', 4: 'Castres Olympique', 5: 'Lyon', 6: 'Montpellier Herault', 7: 'Stade Francais Paris', 8: 'La Rochelle'}","{0: '25900', 1: '25903', 2: '25909', 3: '25986', 4: '25916', 5: '143736', 6: '25918', 7: '25921', 8: '119318'}","{0: '599968', 1: '599969', 2: '599970', 3: '599700', 4: '599697', 5: '599698', 6: '599699', 7: '599702', 8: '599703'}"
"{0: 'Bath Rugby', 1: 'Clermont Auvergne'}","{0: '25898', 1: '25917'}","{0: '267979', 1: '270559'}","{0: '20250105', 1: '20250105'}","{0: 'Northampton Saints', 1: 'Vannes'}","{0: '25907', 1: '289337'}","{0: '599971', 1: '599701'}"
"{0: 'Racing 92', 1: 'Scarlets'}","{0: '99855', 1: '25966'}","{0: '271937', 1: '272073'}","{0: '20250110', 1: '20250110'}","{0: 'Glasgow Warriors', 1: 'Gloucester Rugby'}","{0: '25952', 1: '25900'}","{0: '599817', 1: '599856'}"
"{0: 'Sale Sharks', 1: 'Bordeaux Begles', 2: 'Stade Toulousain', 3: 'Saracens', 4: 'Northampton Saints', 5: 'Ulster', 6: 'Bulls', 7: 'Cardiff Blues', 8: 'Edinburgh', 9: 'Bayonne', 10: 'Newcastle Falcons', 11: 'Lions', 12: 'Lyon'}","{0: '25908', 1: '143737', 2: '25922', 3: '25909', 4: '25907', 5: '25926', 6: '25953', 7: '25965', 8: '25951', 9: '25912', 10: '25906', 11: '25958', 12: '143736'}","{0: '271937', 1: '271937', 2: '271937', 3: '271937', 4: '271937', 5: '271937', 6: '271937', 7: '272073', 8: '272073', 9: '272073', 10: '272073', 11: '272073', 12: '272073'}","{0: '20250111', 1: '20250111', 2: '20250111', 3: '20250111', 4: '20250111', 5: '20250111', 6: '20250111', 7: '20250111', 8: '20250111', 9: '20250111', 10: '20250111', 11: '20250111', 12: '20250111'}","{0: 'Stormers', 1: 'Exeter Chiefs', 2: 'Sharks', 3: 'Munster', 4: 'Stade Francais Paris', 5: 'Leicester Tigers', 6: 'Castres Olympique', 7: 'Perpignan', 8: 'Vannes', 9: 'Black Lion', 10: 'Ospreys', 11: 'Montpellier Herault', 12: 'Connacht'}","{0: '25962', 1: '116227', 2: '25961', 3: '25925', 4: '25921', 5: '25903', 6: '25916', 7: '25920', 8: '289337', 9: '289460', 10: '25968', 11: '25918', 12: '25923'}","{0: '599818', 1: '599819', 2: '599821', 3: '599822', 4: '599823', 5: '599825', 6: '599827', 7: '599858', 8: '599860', 9: '599864', 10: '599869', 11: '599874', 12: '599877'}"
"{0: 'Harlequins', 1: 'Leinster', 2: 'Benetton Treviso', 3: 'Clermont Auvergne', 4: 'Zebre', 5: 'Pau'}","{0: '25901', 1: '25924', 2: '25927', 3: '25917', 4: '167124', 5: '270567'}","{0: '271937', 1: '271937', 2: '271937', 3: '271937', 4: '272073', 5: '272073'}","{0: '20250112', 1: '20250112', 2: '20250112', 3: '20250112', 4: '20250112', 5: '20250112'}","{0: 'Toulon', 1: 'La Rochelle', 2: 'Bristol Rugby', 3: 'Bath Rugby', 4: 'Cheetahs', 5: 'Dragons'}","{0: '25986', 1: '119318', 2: '25899', 3: '25898', 4: '25955', 5: '25967'}","{0: '602206', 1: '599829', 2: '599831', 3: '599833', 4: '599878', 5: '599879'}"
"{0: 'Exeter Chiefs', 1: 'Connacht', 2: 'Montpellier Herault'}","{0: '116227', 1: '25923', 2: '25918'}","{0: '271937', 1: '272073', 2: '272073'}","{0: '20250117', 1: '20250117', 2: '20250117'}","{0: 'Ulster', 1: 'Cardiff Blues', 2: 'Newcastle Falcons'}","{0: '25926', 1: '25965', 2: '25906'}","{0: '599835', 1: '599880', 2: '599881'}"
"{0: 'Stade Francais Paris', 1: 'Munster', 2: 'Bristol Rugby', 3: 'La Rochelle', 4: 'Bath Rugby', 5: 'Glasgow Warriors', 6: 'Stormers', 7: 'Ospreys', 8: 'Dragons', 9: 'Vannes', 10: 'Cheetahs'}","{0: '25921', 1: '25925', 2: '25899', 3: '119318', 4: '25898', 5: '25952', 6: '25962', 7: '25968', 8: '25967', 9: '289337', 10: '25955'}","{0: '271937', 1: '271937', 2: '271937', 3: '271937', 4: '271937', 5: '271937', 6: '271937', 7: '272073', 8: '272073', 9: '272073', 10: '272073'}","{0: '20250118', 1: '20250118', 2: '20250118', 3: '20250118', 4: '20250118', 5: '20250118', 6: '20250118', 7: '20250118', 8: '20250118', 9: '20250118', 10: '20250118'}","{0: 'Bulls', 1: 'Northampton Saints', 2: 'Clermont Auvergne', 3: 'Benetton Treviso', 4: 'Leinster', 5: 'Harlequins', 6: 'Racing 92', 7: 'Pau', 8: 'Lions', 9: 'Scarlets', 10: 'Lyon'}","{0: '25953', 1: '25907', 2: '25917', 3: '25927', 4: '25924', 5: '25901', 6: '99855', 7: '270567', 8: '25958', 9: '25966', 10: '143736'}","{0: '599837', 1: '599839', 2: '602207', 3: '599842', 4: '599844', 5: '599846', 6: '599848', 7: '599882', 8: '599883', 9: '599884', 10: '599885'}"
"{0: 'Sharks', 1: 'Castres Olympique', 2: 'Leicester Tigers', 3: 'Toulon', 4: 'Black Lion', 5: 'Gloucester Rugby', 6: 'Perpignan'}","{0: '25961', 1: '25916', 2: '25903', 3: '25986', 4: '289460', 5: '25900', 6: '25920'}","{0: '271937', 1: '271937', 2: '271937', 3: '271937', 4: '272073', 5: '272073', 6: '272073'}","{0: '20250119', 1: '20250119', 2: '20250119', 3: '20250119', 4: '20250119', 5: '20250119', 6: '20250119'}","{0: 'Bordeaux Begles', 1: 'Saracens', 2: 'Stade Toulousain', 3: 'Sale Sharks', 4: 'Edinburgh', 5: 'Bayonne', 6: 'Zebre'}","{0: '143737', 1: '25909', 2: '25922', 3: '25908', 4: '25951', 5: '25912', 6: '167124'}","{0: '599850', 1: '599852', 2: '599854', 3: '599857', 4: '599886', 5: '599887', 6: '599888'}"
